language,n_examples,avg_similarity_to_English,std_similarity_to_English
German,100,0.6820074265943041,0.1460151188139806
French,100,0.6750325749111101,0.14611505091306173
Spanish,100,0.6501886009478914,0.1456062567581185
Chinese,100,0.5364994140152625,0.10199053758164678
Japanese,100,0.502830206484305,0.1104757664351302
