src,dst,distance,similarity,plot_weight
cjk,umb,0.5022169267728179,0.9369761853944791,5.093035990027656
fuv,ibo,0.5040488621579529,0.9367317323321636,5.07788188800198
lug,nus,0.5069349136214557,0.9363466182479123,5.054007946440414
hau,knc,0.5077176532664961,0.9362421696386554,5.047532982019324
lin,lua,0.5168193902984038,0.9350276358139937,4.972241761209022
bam,taq,0.5200398799919735,0.9345978943645206,4.945601285903498
afr,nya,0.520833283508992,0.934492022770489,4.93903810799778
bem,cjk,0.5306719528382204,0.9331791528591613,4.857650849461349
luo,swh,0.5395150679208706,0.9319991294915774,4.78449899635851
kik,swh,0.5430246076606812,0.9315308172663338,4.755467446604182
dik,sag,0.5476159117551568,0.9309181546391343,4.717487345753925
kin,lua,0.5626451673454776,0.9289126540176661,4.593162615507547
dik,gaz,0.580876752819199,0.9264798351878736,4.442347631201615
amh,som,0.6004830325533287,0.9238635774527401,4.280160926448888
acq,som,0.6020649854242093,0.9236524820031606,4.2670747251561725
gaz,som,0.6281102762559236,0.9201770040172143,4.051623351840874
kin,lin,0.6978121212923162,0.9108760048627395,3.475037037918257
lua,umb,0.7044466392333153,0.9099906962209472,3.420155101259952
dyu,wol,0.7736727351881091,0.9007531809212166,2.847504270094899
taq,wol,0.8498027619205952,0.890594406588926,2.217742870384516
nya,plt,0.97720943052018,0.8735932882354522,1.1638117817793265
plt,swh,0.9850186706623001,0.8725512249167406,1.0992123298461633
bem,umb,0.9916534735290344,0.8716658782545198,1.0443280362304594
plt,tso,0.9970121610966994,0.87095081614232,1.0
