src,dst,distance,similarity,plot_weight
pol,slk,0.22390362471491027,0.9741142523390219,7.924442673515773
ces,ydd,0.22519893124783535,0.9739414069148982,7.917110509715336
bos,mkd,0.22671876082947856,0.9737386011836234,7.908507419127822
cat,oci,0.2290843096574494,0.9734229428586918,7.895117081749188
hye,kmr,0.2300291231569421,0.9732968671492852,7.889768905728261
arz,heb,0.23374316925388797,0.9728012656398941,7.868745315054565
hun,ukr,0.2337460649551641,0.972800879238141,7.868728923756032
azb,kat,0.23875476267128293,0.972132519696176,7.84037687646224
ita,slv,0.24057785066457527,0.9718892472279179,7.830057172631795
ast,eus,0.2413400221554788,0.9717875432287088,7.825742853145806
acm,ars,0.24276890728124645,0.971596873105993,7.8176545593498386
ita,lij,0.24390297432510924,0.9714455434444814,7.811235101781365
als,srp,0.2446467655686891,0.9713462921015072,7.807024824837157
cat,spa,0.2514019464467797,0.970444882223438,7.76878670016107
ajp,ars,0.2523150063201871,0.9703230437110413,7.7636182675304495
cat,eus,0.25316155907434307,0.9702100798942799,7.758826302616041
slk,ukr,0.25435675049725603,0.9700505938088234,7.7520608466695755
crh,ron,0.2552556900086575,0.9699306395144843,7.746972343232943
gla,gle,0.25705221080167107,0.9696909121676962,7.73680302470452
eng,nld,0.2574855221269145,0.9696330911979986,7.734350238794379
dan,nld,0.2624940846268536,0.9689647496992514,7.7059989569002445
lij,vec,0.2634568879236405,0.9688362734351774,7.7005489485043945
eng,gle,0.26957225029529686,0.9680202408004833,7.6659325565784195
bel,ydd,0.27472576591554093,0.967332556788655,7.636760758463264
bak,tat,0.2767841178256844,0.967057890754121,7.625109328488592
deu,ltz,0.2897107862372808,0.9653329589118769,7.551937111890785
ary,tzm,0.2913527171478015,0.9651138600056358,7.542642859079638
lit,ydd,0.29541347613211155,0.964571993203403,7.519656678380142
ita,oci,0.29570972896471887,0.9645324612893748,7.5179797206563865
azb,kmr,0.29655560396738356,0.9644195879116261,7.513191592196767
fra,nld,0.3007829457438281,0.9638554923375726,7.4892624591634265
est,lit,0.30164315860746216,0.9637407057187514,7.4843931703433
bel,pol,0.3031074820787403,0.963545306710861,7.476104275571814
eng,gla,0.30429453576735177,0.963386906522913,7.469384883780318
aeb,mlt,0.30740716054959033,0.9629715585439221,7.451765676146789
eus,glg,0.3175254661922112,0.9616213740233029,7.394490372989754
azb,azj,0.31955438736266994,0.9613506352203189,7.383005537561356
aeb,kab,0.3210611637339166,0.9611495713066215,7.3744763354892715
nob,swe,0.3249670290507619,0.9606283734819369,7.3523669401009215
cym,gla,0.32645002915588506,0.9604304822680582,7.343972325073178
fra,oci,0.346394493855852,0.9577690972040905,7.231075432812521
aeb,scn,0.3564241576674531,0.9564307410302667,7.174301892294743
crh,tur,0.3592676938517438,0.9560513001756954,7.158205877532428
apc,arz,0.3598557646542875,0.9559728281347563,7.154877065902977
est,fin,0.3642571009239064,0.9553855147730954,7.129963026137601
fao,gla,0.3649179855179321,0.9552973264755399,7.126222047478566
dan,ltz,0.3754433396060295,0.9538928254982296,7.066642621088085
ita,scn,0.37823555384433866,0.9535202330330508,7.050837117417106
cat,kab,0.37980702184817505,0.9533105366818662,7.041941724304826
fao,isl,0.3881361632721205,0.9521990978483436,6.99479409732617
lit,swe,0.39656462116922525,0.951074406246083,6.947084283227498
acm,arb,0.399604794051263,0.9506687262330141,6.929875194115283
ajp,arz,0.41280954408824744,0.9489066872387103,6.855128879050889
ces,dan,0.41387614103052145,0.9487643607729894,6.849091340220497
kab,spa,0.4153500289051005,0.9485676854931874,6.840748305544769
ajp,arb,0.4172663905173702,0.9483119666133488,6.829900620549081
dan,nob,0.419476003148652,0.9480171163808401,6.817392969783602
fin,swe,0.4222113298010283,0.9476521149828472,6.801909481857672
apc,tur,0.4227600499295417,0.9475788938873556,6.798803417184492
ell,tur,0.4405818489931802,0.9452007568676601,6.697922006775815
als,mlt,0.45503161322480534,0.9432725834479962,6.616128210843433
kab,tzm,0.47071659229144613,0.941179583227405,6.527342403932294
fao,nob,0.4849863981662339,0.9392754234120283,6.446567273555942
spa,tzm,0.5264579455194313,0.9337414690860638,6.2118149809348955
fin,nob,0.5954560133348776,0.9245343818120211,5.821247094278748
bak,rus,0.6335892154358814,0.9194458955558299,5.605391714156257
ary,spa,0.640142923531009,0.9185713701624256,5.568294038793496
gla,isl,0.6485484071846392,0.9174497442382546,5.520714271839701
azb,pes,0.6558067563941468,0.9164811916866649,5.479627931292422
ary,glg,0.659218536100051,0.9160259245392414,5.460315338466841
arb,pes,0.6748594330276233,0.9139388066297711,5.3717790612663245
ckb,pes,0.7146304525509464,0.9086317703703164,5.146652712990422
gle,isl,0.8006401856374457,0.8971546501549699,4.6597892290258365
rus,tat,0.8785985517712963,0.8867519026076617,4.2185010122382955
azj,tat,0.95960382630984,0.8759425762605956,3.7599655794904643
azj,bak,0.9670765122613036,0.8749454226604301,3.7176659723838617
azj,rus,1.4471817832493392,0.8108802789445481,1.0
