src,dst,distance,similarity,plot_weight
pol,ydd,0.03389471746809493,0.9994689999030583,8.99999999995758
lij,oci,0.052562648425595646,0.9969779552261082,8.894329006940563
hye,kat,0.060012977375049334,0.9959837849394645,8.852155953044846
bul,ell,0.07132498616444338,0.9944743129286355,8.788123618421693
ast,glg,0.07680220485462275,0.9937434340490359,8.757119478794209
ast,por,0.09595753361742172,0.9911873511141658,8.648689539957353
als,mkd,0.09974190317157804,0.990682365657826,8.627267878947276
slv,vec,0.1002638338107382,0.9906127193460105,8.624313457857356
azj,hye,0.10111043602921248,0.990499748928741,8.61952121294707
azj,kat,0.11447630239962192,0.9887162106056867,8.543862888780918
mlt,scn,0.11649829851901125,0.9884463958800224,8.532417253038057
hun,slk,0.11835235931370533,0.9881989904078317,8.521922225724357
hrv,slv,0.12083874903445616,0.9878672071002546,8.50784786089961
ron,ukr,0.12138381551370753,0.9877944735469318,8.504762477937037
cym,eng,0.1410431279382869,0.9851711391410334,8.393479708000369
ces,deu,0.143387755414856,0.9848582725567164,8.380207797242392
bel,lit,0.14542239975589327,0.9845867700550859,8.368690565448286
azb,ckb,0.15554707145577046,0.9832357360491607,8.31137922682522
bul,crh,0.1557395703522503,0.9832100490379709,8.31028957475869
bos,hrv,0.15959608534804506,0.9826954365094737,8.288459529955205
ita,vec,0.16147198465332516,0.9824451169111448,8.277840884383812
ell,mkd,0.16290981073703936,0.9822532537089308,8.2697019797351
ltz,nld,0.16460051385606697,0.9820276466497154,8.260131648781371
eus,por,0.1664936050982187,0.9817750329630418,8.249415687173983
bul,srp,0.1665255161587554,0.9817707747580128,8.249235052616099
glg,por,0.16919438990296967,0.9814146408217392,8.234127725541114
cym,gle,0.17028707908942758,0.9812688326125871,8.227942489927436
hrv,hun,0.176358620597078,0.980458647424526,8.193574148748219
als,bos,0.17691665412685384,0.9803841835507806,8.190415364983565
ckb,kmr,0.17820762272864432,0.980211916979251,8.183107756314156
ron,srp,0.17833660469101975,0.9801947056540362,8.182377645833434
ajp,heb,0.1808424787049347,0.9798603223665856,8.168192988946242
hrv,vec,0.1814496652036683,0.9797792995312735,8.164755971720616
mkd,srp,0.18527161880793216,0.979269298867401,8.14312156383969
ces,slk,0.1863992251960097,0.9791188313144027,8.136738677218148
est,swe,0.1870846506184045,0.9790273682940075,8.132858783662272
arb,ars,0.18973664079465916,0.9786734872973977,8.117847027081737
por,spa,0.19015235087951507,0.9786180150334177,8.115493874095801
crh,ell,0.19235765963651155,0.9783237391089644,8.103010585680416
eus,spa,0.19283260081078993,0.9782603630611987,8.100322151401066
deu,slv,0.19415917336657676,0.978083345505734,8.092813004318925
acm,ckb,0.19575029431221272,0.9778710266702383,8.083806364498031
ces,pol,0.20212601256482968,0.9770202522029943,8.047716211792594
hun,srp,0.20581718114653394,0.9765277034642984,8.026822120727555
bul,ron,0.20919511262030224,0.9760769530176641,8.007701127941093
ajp,apc,0.21182399394112705,0.975726155661734,7.992820180484843
apc,heb,0.2160489162195168,0.9751623829449787,7.96890474317186
acm,kmr,0.21632684332594596,0.9751252964118955,7.967331519369524
fra,ltz,0.21759483674138203,0.9749560956442732,7.960153963182222
slk,ydd,0.21935322034963603,0.9747214573151863,7.950200522578009
kat,kmr,0.22025826432914472,0.9746006884419408,7.945077464417115
deu,vec,0.22146800617505427,0.9744392607511808,7.9382296448894705
