src,dst,distance,similarity,plot_weight
fra,spa,0.0477297150811653,1.0,8.999999999990589
deu,spa,0.07110265573001762,0.905403612390694,8.109769050027083
deu,fra,0.07433349044196458,0.8923275815521037,7.9867126876291055
jpn,vie,0.11915548982066093,0.7109212583019983,6.279527798674201
deu,vie,0.12346229089362493,0.6934905109358434,6.115489919654607
spa,vie,0.12446168546146641,0.6894457004289203,6.077424877309943
eng,fra,0.151455531709074,0.58019456335259,5.049280505182917
jpn,spa,0.18602484798239383,0.44028352302997553,3.732600857211556
deu,jpn,0.19204813506166074,0.4159057090530066,3.5031852839194557
eng,spa,0.21999156410767085,0.30281136269401276,2.438873105208264
deu,eng,0.25776905958863705,0.14991598426837338,1.0
