src,dst,distance,similarity,plot_weight
deu,eng,0.6463695225079125,1.0,8.99999999999174
eng,spa,0.8496208451359379,0.9582883762173788,8.655476633692667
deu,spa,0.8562089539739438,0.956936351966138,8.644309388111843
jpn,vie,1.994185392235687,0.7233986585700113,6.715370042430524
deu,vie,4.801670198643835,0.1472412761423575,1.9565123689313315
deu,jpn,4.944913341215758,0.11784464543341389,1.7137065212741693
eng,jpn,5.044845007627502,0.09733647840433357,1.5443162626185896
eng,vie,5.1150978235257645,0.08291906163907592,1.4252334625053802
spa,vie,5.365964011814677,0.031435824381930155,1.0
